"CARRERA,C,3","PLAN,C,2","ACTA,C,5","ORDEN,C,2","LIBRO,C,5","MATERIA,C,3","TURNO,C,1","CATEDRA,C,1","FECH_ACTA,D","PROCES,L","FECPRO,D","INSCR,N,2,0","AUSENT,N,2,0","EXAMIN,N,2,0","SOBRES,N,2,0","DISTIN,N,2,0","BUENO,N,2,0","SUFIC,N,2,0","INSUF,N,2,0","REPROB,N,2,0","NOCORR,N,2,0","RECLIB,C,5","RECACT,C,5","OBSERV,M"
461,86,06623,,    1,102,1,,07/24/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
820,85,06920,,    1,020,1,,07/26/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
822,85,06940,,    1,026,1,,07/26/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
824,85,06960,,    1,017,1,,07/26/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
826,85,06980,,    1,017,1,,07/26/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
828,85,07010,,    1,027,1,,07/26/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
401,86,07070,,    1,015,1,,07/24/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
451,86,06311,,    1,001,1,,07/25/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,07110,,    1,046,1,,07/25/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
812,86,07440,,    1,029,1,,07/27/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,07520,,    1,063,,,11/29/1991,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,07530,,    1,031,1,,11/25/1992,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
841,87,07550,,    1,016,3,,08/03/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
841,87,07560,,    1,016,3,,08/03/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
841,87,07570,,    1,016,3,,08/03/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
841,87,07580,,    1,016,3,,08/03/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
841,87,07590,,    1,016,3,,08/03/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
841,87,07600,,    1,016,3,,08/03/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
801,86,08050,,    1,029,1,,07/28/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
806,86,08100,,    1,039,2,,07/28/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
812,86,08160,,    1,039,2,,07/28/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
451,86,08380,,    1,012,1,,07/31/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
471,86,08520,,    1,011,1,A,07/31/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
471,86,08530,,    1,021,1,A,07/31/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
831,89,08660,,    1,026,2,,07/31/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
